bank,date,full_P,P_without,decisiveness_gain,family,ambiguity_sentence
ECB,20220609,0.494,0.397,0.097,"policy_action, hedging","In relation to the July rate hikes that we discussed, we certainly considered that the three rates would be impacted by the hike, not just the deposit facility "
Fed,20170315,0.5,0.404,0.096,condition_inflation,"And inflation is moving- moving up, I think, toward our 2 percent objective."
BoE,201608,0.504,0.401,0.095,policy_action,But the stimulus that we've designed has been targeted not at the exchange rate but at the domestic economy in order to support the domestic economy.
Fed,20220504,0.499,0.411,0.088,"condition_labour_growth, policy_action, conditionality_guidance","So, and the labor market-if you look at the labor market, for people who are out of work and looking, there are lots of job opportunities for-wages are moving u"
ECB,20190606,0.498,0.411,0.087,"condition_inflation, policy_action",That's why on other occasions I made the point of stressing that the Governing Council is not resigned to having a lower rate of inflation forever - even for no
Fed,20250730,0.506,0.589,0.083,hedging,"I mean, ultimately, it's-it could be any-it could be any of those things."
Fed,20210127,0.501,0.417,0.082,(none),"We're focused on finishing the job we're doing, which is to support the economy, to give the economy the support it needs."
Fed,20190619,0.503,0.421,0.077,"condition_inflation, policy_action, hedging",We have-we've said that we wouldn't look at raising the target rate for inflation.
ECB,20230727,0.5,0.423,0.077,(none),We have a target which is medium term 2% sustainable and we want to get there.
ECB,20220203,0.501,0.428,0.072,hedging,"Let's not forget that we will continue doing so on the basis of our forward guidance, that we will continue to observe the sequence that we have agreed, and tha"
BoE,201511,0.504,0.426,0.07,"condition_inflation, hedging","So taking all of that into account, and recognising, as I said to Robert, the pick-up in domestic costs that would be necessary to offset it, there's a desire t"
Fed,20220504,0.492,0.424,0.068,conditionality_guidance,"But I'll say again, if we do believe that it's appropriate to go to those levels, we won't hesitate."
Fed,20250730,0.508,0.426,0.067,condition_inflation,"But in the end, there should be no doubt that we will do what we need to do to keep inflation under control."
BoE,201911,0.508,0.426,0.066,condition_inflation,"Secondly, the biggest driver of the move in inflation are temporary factors, petrol prices are down a bit, sterling is up a bit so you get some pass through fro"
Fed,20201105,0.505,0.43,0.065,"condition_labour_growth, hedging, mixed_two_sided_risk","We have been concerned that the downside risks, though, are, are prevalent now, which are-which are really the risk of the further spread of the disease and als"
Fed,20201105,0.503,0.432,0.064,policy_action,"Clearly, you know, therapeutics are advancing, research on vaccines are advancing, death rates are way down, hospitalization rates are, are lower now, but-so we"
Fed,20210922,0.497,0.436,0.062,(none),"And now we're in a situation where they still have a use, but it's time for us to begin to taper them."
ECB,20220908,0.506,0.434,0.06,policy_action,"So we are using the policy rate, we will continue using that policy rate in the next several meetings, as I have said, and of course we will look at other monet"
Fed,20240918,0.501,0.439,0.06,(none),"And, as I said, you can-you can see our, our 50 basis point move as a commitment to make sure that we don't fall behind."
Fed,20211103,0.503,0.443,0.054,"condition_inflation, mixed_two_sided_risk",We have to be aware of the risks that we're-particularly now the risk of significantly higher inflation.
Fed,20200429,0.495,0.442,0.053,mixed_two_sided_risk,"Of course, this is the period as well that carries the risk of new outbreaks of the virus, something we really want to avoid."
Fed,20200916,0.505,0.445,0.05,(none),"As I mentioned, I think over time it will provide very powerful support for this economy as we move forward."
Fed,20210616,0.5,0.467,0.033,"condition_inflation, condition_labour_growth, hedging","In other words, wages in excess of productivity and inflation, you know, by a meaningful amount broadly across the economy, sort of forcing companies to keep ra"
